id	antiHormonal_20m_ESR1_letrozole_2m_1	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_CYP19A1_letrozole_2m_2	antiHormonal_18m_ESR1_no_3	antiHormonal_20m_ESR1_no_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_ESR1_no_3	aging_24m_CYP19A1_12m_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_30m_CYP19A1_18m_2	antiHormonal_20m_CYP19A1_no_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_12m_2	aging_24m_ESR1_6m_1	aging_12m_ESR1_no_2	aging_12m_CYP19A1_1w_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	antiHormonal_18m_ESR1_no_1	aging_24m_CYP19A1_12m_3	aging_30m_ESR1_18m_3	aging_18m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_no_3	aging_24m_ESR1_12m_3	aging_30m_ESR1_18m_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_ESR1_12m_1	aging_18m_ESR1_1w_2	antiHormonal_18m_CYP19A1_no_3	aging_24m_CYP19A1_no_2	aging_12m_ESR1_no_1	aging_12m_ESR1_1w_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	aging_18m_CYP19A1_1w_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_1	aging_18m_CYP19A1_no_3	aging_12m_CYP19A1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_18m_ESR1_no_1	aging_24m_CYP19A1_6m_2	aging_24m_ESR1_no_2	aging_24m_ESR1_6m_2	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_18m_ESR1_1w_1	aging_30m_CYP19A1_18m_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_24m_CYP19A1_no_3	aging_24m_CYP19A1_no_1	aging_12m_ESR1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_12m_2	aging_30m_ESR1_18m_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_ESR1_no_3	aging_24m_ESR1_no_3	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_1w_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_2	aging_12m_CYP19A1_1w_2
chr8:68413038-68417006:-		1						1																				1																												1									1							
chr14:122608652-122621734:+																				1					1											1		1																																		
chr1:53255389-53321251:-																																																														1										
chr6:47522609-47554601:-																								1																																										1						
chr1:59748234-59749664:+																														2																																										
chr4:116194618-116287745:-																																		1																																						
chr5:140415806-140418889:+		1																													1		2																																							
chr2:24774157-24774714:-											1																																													1										2						
chr1:11168686-11278879:+																																						1																																		
chr11:23299150-23311404:+																																																	1																							
chrX:99947363-99960256:-																		1																																																						
chr19:55369451-55369487:+																																																																				1				
chr9:15221705-15222787:+																																																																						1		
chr4:141422659-141422717:-					1																										1																																									
chr7:26857326-26857518:+												1																																																												
chr4:130457859-130468748:+																		1																																																						
chr3:88914448-88915184:+							1													1													1																																	2					2	
chr14:66424891-66427683:-																		1														1																				1																1				
chr8:13681774-13681892:-																																	1																																							
chr7:127118752-127125077:+		1							2																									1	1																					2																
chr8:27539336-27539430:+					1																																																																			
chrX:94155960-94174621:-																													1																																											
chr16:43931457-43937245:-																																																							1																	
chr1:92069241-92076216:-					1																	2												1																			1			1																
chr1:91039877-91053467:+								1																																																																
chr1:151856176-151882518:-																							1																																						1											
chr7:100073946-100109095:+																									1																																															
chr16:13699741-13705634:-																																		1																																						
chr2:30294539-30295516:-																																																																	2							
chr1:192775059-192775108:-																																																																				1				
chr4:6417164-6418523:-				1						1																																																							1							
chr3:79080214-79082356:-																				1																																																				
chr17:28647325-28660027:-							1													1								1			1		1																																			1				
chr3:88930337-88933813:+												1																						1																																						
chr18:9332783-9353507:-																													1																																											
chr1:86749172-86749216:+																																		1																																						
chr7:12504730-12509585:-																																					1										1						1																		1	
chr2:120999629-120999679:-				1																															3																																					
chr15:72608571-72608624:-						1																																																																		
chr7:14340490-14343264:-																			1						1																																														1	
chr11:70777836-70811794:+																																																									2															
chr1:176906339-176937304:-																																		1																						1								1		1						
chr11:106570374-106573779:-																																																																								1
chr14:105377893-105378631:-												1																																																												
chr11:50801262-50803228:-																									1																																															
chr2:52904814-52932381:+																																1										1			1																											
chr1:92379732-92398707:-																															1					1																																				
chr6:113419590-113419631:+																																					1																																			
chr8:73192156-73192275:-						1																																																																		
chr11:96218812-96218873:+											1																																																													
chr8:22688913-22692360:+																												1																																												
chr14:8382230-8382480:-																																1																																								
chr11:60597018-60597939:+																																																																						1		
chr9:63245366-63265342:-				1										1			1				1				1						2																													2					1							
chr12:105765909-105771267:+																				1																																																				
chr3:96058291-96058611:+																							1												2																																					
chr11:58970591-58970635:-																												1																																												
chr2:80363988-80368580:-																																																			1																					
chr9:57819108-57819171:+																		1																																																						
chr2:128944882-128947301:+												1																																																												
chr11:35715222-35718293:-														1																										1																														1		
chr1:33821148-33825613:-																																						1																																		
chrX:74068383-74068862:-												1																																																												
chr8:84046042-84049393:-																																						1																																		
chr11:120238177-120238461:-																							1																																																	
chr14:87709511-87724723:+		2	1	2	1		1	1		1											2		2	1				1			1		1	1		2	1		1							4	1					1				1																
chr4:111624859-111656451:+				2																																																																				
chr15:102116205-102116355:+																		1																																																						
chr2:153036196-153037485:+																								1			1						1	1						1																	1															
chr13:49245711-49256438:-																																																																	1							
chr8:70743656-70744253:+															1																																																									
chr9:111064185-111064271:+																																																									1															
chr16:95516229-95516299:+																																																																							1	
chr2:166905555-166907400:+																					1																																																			
chr15:75920070-75920213:-										1																																																														
chr6:148707882-148725983:-																								1					1																																			1							1	
chr9:63193680-63237238:-																																														1																				1						
chr19:60976139-60976235:+																																																										1														
chr3:86022093-86028493:+		1							1		1																																																													
chr2:120523160-120524286:+			1																																																																					
chr5:144080346-144093812:+																																										1			1																											
chr4:70255577-70273112:-																																					1																																			
chr13:51806642-51808671:+																				1																																																				
chr14:73440264-73454219:-																													1																																											
chrX:159343095-159369945:+																																																			1																					
chr1:87291825-87301833:+																					1	1					1				1															1										1	1					1										
chr6:39142030-39147844:-																							1																																																	
chr5:23729145-23770263:-																										1																																														
chr10:61561634-61564000:+																				1							1																																													
chr19:3665652-3680470:-																					1																																																			
chr7:109532819-109534760:-																																																																				1				
chr3:86198733-86571897:+																																																				1						1														
chr8:13527043-13527166:-																																																																		1		1				
chr4:150515979-150523925:+		2		1	2	1			1		1				1			1				1	1	1		1								1		3			1	1		2			2		1									1		1								1				2		
chr13:92117065-92120407:-																																																																		1						
chr10:8656282-8665365:-					1		1	1																			1	3						1						3											1		1	1							1					2			2			
chr18:80820012-80890467:-																											2																																													
chr15:96251065-96251145:+																																				1																																				
chr7:140590270-140590309:-																										1																																														
chr17:88306960-88310397:-																				2																																																				
chr3:137591033-137611818:+																																																																								1
chr10:26745916-26765868:+		1																																																																1						
chr2:146229147-146248352:-			1		2			5				2			2		1				1	1	2								2		1		3					2							2							2		1	1	1		1	3	2			1			1	1			
chr6:58845626-58871609:+														1				1											1							1											1																									
chr1:153354611-153358628:-																																																								1																
chr6:99139799-99376678:-																																																																							1	
chr5:122790789-122795147:+																																		1	1																																					
chr13:55817662-55817703:+																																																																					1			
chr4:136041397-136046818:+				1																1																											1					1			1																	
chr14:64975955-64976090:+																							1																																																	
chr4:155536134-155540197:+																																				1																																				
chr8:48729064-48763804:-																																																									1															
chrX:82998568-83008447:+										1																																																														
chr1:5159231-5168356:+											1												1						1																																				1							
chr15:99885283-99894557:+																																				1																																				
chr10:84422967-84427172:+																																																													2											
chr11:21213198-21228060:+																													1									1																												2						
chr14:65313107-65317924:-																																																																	1							
chr15:7211333-7211513:+					2																																																																			
chr5:66608810-66619509:-																								1				1								1																																				
chrX:8009868-8009896:-																																								1																																
chr1:133654194-133667849:-																																																																					1			
chr7:132568235-132575352:+			1									1		1												1					1								1																1	1		1			1				1						1	
chr3:148564368-148571345:-																								3																													1																		1	
chr12:101838082-101872075:-																																			3																																					
chr5:100594382-100633714:-																							1																												1																					
chr10:58243891-58246024:+																																																																				1				
chr10:106824666-106840676:-				2																		1																																											1							
chr6:120978568-120986142:-					1																																																																			
chr5:88775079-88793460:+						1																																																																		
chr19:38923980-38924040:+																																																													1											
chr11:72944248-72960639:+																																																																				1				
chr10:61570208-61571233:+								1																																																																
chr17:35082721-35082838:-																																										1			1																											
chr2:74367647-74403970:-																																																							1		1															
chr2:51027147-51027257:-																																														1																										
chr3:54284585-54292706:+																																																							1																	
chr10:128776550-128776806:+																																																																	1							
chr9:65593477-65596188:+		1																										1																																												1
chrX:107847587-107869101:-																													1											1																																
chr10:121436696-121439219:-																																																																							1	
chr17:5937271-5970948:+				1																			1																												1																					
chr13:119574504-119577407:+											1																																																													
chr10:41556211-41557788:-																																																									1															
chr14:31340928-31344931:-					1													2																		1	2																																	1		
chr9:87100557-87126398:-																																																																						1		
chr4:118025581-118027233:-																											1																																													
chr3:152043362-152043681:-																																					1																																			
chr7:133894956-133900129:-																																																					2																			
chr10:100324140-100332733:+																																																								1																
chr4:48208696-48219527:-							1																1																																	1																
chr16:3737344-3755478:+																																			1																																					
chr18:39376658-39439905:+																																																									1															
chr13:94608183-94630249:+																																																																		1						
chr2:3347223-3347933:-																													1																							1																			1	
chr12:105772855-105772911:+																																		1																																						
chr12:26389304-26439574:-																																																						1																		
chr12:21279239-21280957:+																																						1																																		
chr19:56343913-56361346:-																																																								1										1						
chr12:101838082-101856877:-																																																																		1					1	
chr17:79135250-79135360:-		1																																																																						
chr3:28093924-28110693:+							2			1																																																														
chr12:91474494-91474572:+																													1																																											
chr1:132421912-132421943:+					1																																																																			
chr10:64421738-64511695:+																																																																		1						
chr7:109511121-109526221:-					2					1														2																																	1														1	1
chr10:11062649-11063681:+																				1																																																				
chr7:46499601-46500482:+																																										1			1																							1				
chr15:90400110-90469144:-																																								3																																
chr7:99737270-99742691:-			1																		1			1														1			1								1			1																				
chr18:80912956-80961093:-							1				3	1															1							2								1			1				1					1				1			1								1			
chr9:58863241-58865335:-										1																			1		1		1				1									1									1						2					2			1			
chr9:122080212-122090719:-																													1																																											
chr2:72770886-72801858:-																													1																																											
chr10:127144126-127144852:-																																	1																																							
chr4:141355061-141355751:-																																																										1														
chr13:64391447-64395132:-		1		1							2								1			1																																															1			
chr2:70812198-70812539:-												1																																																												
chr6:140579414-140596508:+																							1													1																													1							
chr18:25472770-25478019:+							1										1									1		1																		1									1																	
chr10:44991158-45002163:+																							1																																																	
chr5:24611492-24611638:+																											1																																													
chr8:121080728-121080918:+																						2																																																		
chr19:53609019-53612019:+																																	1																																2							
chrX:159635136-159649049:-																																								1																																
chr8:78177321-78177552:-						1				2																																																														
chr5:4058343-4064079:+																																																									1															
chr9:58863241-58897791:-																																																																	1							
chr2:76550425-76557977:-																									1																																															
chr8:78109353-78147376:-																																				1																																			1	
chr15:78653008-78653084:-																																																																		2						
chr8:84388583-84389044:+			1																																																																					
chr9:122947955-122959659:+					1																																																																			
chr1:64597661-64615488:+																																																								1									1							
chr16:20474161-20474212:+								1																																																1																
chr6:143126312-143143291:+											1												1					1												1												1			1																	
chrX:7761403-7764875:-																					1																																																			
chr9:103099456-103100133:-				1																																																																				
chr5:108286779-108309624:+																																																						1																		
chr18:50064977-50072676:+								2																															1																																	
chr17:25454155-25454601:-																																																								1																
chr11:22922605-22922650:-																												1																																											1	
chr12:111289236-111289607:-																																			1		1														1																					
chrX:107811554-107842461:-																																																								1																
chr17:46463987-46464368:-							1																																																																	
chrX:100710883-100711765:+											1																																																		1	1										
chr6:5230400-5240978:-																																	1																																							
chr14:20623835-20636217:-																		1																																																						
chr11:100945851-100946431:+																						1																				1			1																											
chr2:76719229-76719517:-																							1																							1																										
chr6:3516621-3519270:+																									1																																															
chr2:168777130-168793698:-							1																																																																	
chr17:27155016-27155051:+							1																																																																	
chr2:91379118-91381103:+											2																							1																				1											1							
chr9:98983227-99004429:-																		1																																																						
chr1:40001337-40015977:+																																																																						1		
chr8:119484106-119484223:+																																																																						1		
chr5:50128031-50129417:-										2														1														1		1																																
chr2:121932126-121945270:-																																1																																								
chr3:94793296-94793385:-																																																										1														
chr16:10428866-10432464:+																						1																																																		
chr7:96384891-96446712:+																						1																																												1						
chr12:55458971-55461283:+																																																																	1							
chr3:27542385-27555694:-					1	3				2		1								1							1																															1														
chr16:4745538-4750162:+											1																																											1																		
chr10:39739924-39740137:+																								1																																																
chr10:116363731-116373183:-																							1																																		1															
chr8:89433716-89449840:+																																																				1																				
chr6:115609857-115621603:-																																																			1																				1	
chr19:4398673-4411612:-																																																						1																		
chr9:107636246-107636974:-											1																																																													
chr7:122587824-122589605:+																																					1																																			
chr9:78042877-78048555:+																																					1																																			
chr17:86295752-86309035:-																																																																					1			
chr5:76402220-76421890:-																		1																																																						
chr6:92082262-92126785:+																									1																			1			1																									
chr2:71138399-71145473:-																																	1						1																																	
chr8:41501084-41537877:-																							1					1	1																									1										1								
chr14:7709421-7723795:-																															1					1																																				
chr1:63124826-63132889:-																																																			1										1											
chr1:4212834-4298842:-							1																																										1																							
chr7:117777587-117779704:-																																1																			1																	1		1		
chr11:97139027-97149177:-																																																							1																	
chr18:42421172-42425172:+		1																																																																						
chr18:10793027-10793113:+						1																																																																		
chr5:5086425-5086546:-																																																				1																				
chr12:69650249-69657600:-		1						1			1	2						1																1	3																	1										1										
chr2:118243415-118266766:+				1																																																																				
chr15:77016916-77017141:-																																		1																																						
chr15:99047514-99047811:+							1																																																																	
chr7:77910031-77910162:-																																														1																										
chr12:84168056-84173791:+																													1																																					2						
chr5:31407573-31407941:+											1																																																													
chr12:59098308-59098426:-																									1																																															
chr2:31223866-31282237:+																											1																																													
chr6:52142967-52143108:+																																											1																													
chr9:9058238-9059049:-																																																														1										
chr7:73154735-73169456:-			1	1																													1																													1										
chr3:116584654-116587471:-											1																																																													
chr16:17676444-17677267:-																						1																																1																		
chr13:49595428-49600052:+						2																																																																		
chr9:107177343-107177418:+																																					1																												1							
chr5:144823171-144839388:-																																																													1											
chr16:14207670-14241124:+																																																																							1	
chr11:35062399-35125735:+					1																				1																	1			1								1															1				
chr1:156697010-156729460:-							1																																																																	
chr9:106863192-106884078:-																												1																																												
chr15:35445715-35456885:+																																																	1																							
chr11:60091002-60091251:-																																																													1											
chr10:79727289-79727684:+																																																																					1			
chr4:72087328-72089007:-		1																													1															1									1											1			1			
chr4:103176218-103179065:+		1										1			1									1		1			1		1		1	1						3		1			1		1					1						1						1	1	2					1	
chr1:106714432-106719519:-																																		1																																						
chr2:158272336-158288113:+																																																																							1	
chr17:74752124-74760161:-														1																																																										
chr19:37103731-37116621:-																											1						2																							1																
chr10:19899353-19904949:+																																	3			1											1																					1				
chr7:113478483-113478512:+																				1																																																				
chr13:55806911-55807228:+																																																						1																		
chr11:58046457-58058695:-				1																																																																				
chr2:31075500-31078825:+																															1																																									
chr5:17899640-17929209:+																																	2		2																1																					
chr10:33309696-33342457:+																																																																		1						
chr12:55345300-55345678:-												1													1																																															
chr17:75084638-75106406:+																				3							2	1								1																																				
chr10:12289679-12317837:-																												2																																												
chr11:12296055-12338696:+																			1																																																					
chr7:101036433-101036514:+																																																																							1	
chr4:11338721-11353463:-											1							1						1																		1			1																											
chr17:71529049-71538514:+																												2										1																								1									1	
chr5:73190100-73192496:-																																			1																																					
chr1:134793515-134807483:-																																								1									1																							
chr9:64779109-64780421:+					1																																																																			
chr5:18016178-18025598:-								1			1				2						1	1	1	1	1								1				1			1		1			1						2		1	1																3	1	
chr2:67307061-67307210:+																											1																																													
chr8:73140704-73143311:-																																									1																	1														
chr2:24729541-24748262:-																				1																																																				
chr2:127079380-127080155:+																					1																															1																				
chr10:80006035-80006174:+																							1																																																	
chr6:22132227-22234717:+																																																				1																				
chr17:13199708-13204840:-		1																																			1																																			
chr6:56826622-56828492:+						1																																																																		
chr4:45359760-45370508:+																						1																																																		
chr4:134048493-134050548:+																							1																																																	
chr10:83342461-83344596:-																																																										1														
chr13:41492052-41492496:-					1																				2			2								1				1		2	2		2				1																						1	
chr19:40325429-40353610:-					1							1		1																					3																1						1			1												
chr9:70661443-70676294:+				3			1				1																	1																																												
chr9:75355583-75357854:+																																																			2																					
chr5:150530184-150571013:-																											1																																													
chr8:86662036-86756313:+																															1																																									
chr5:34567924-34597934:+																																																													1											
chr8:23425495-23425814:+																																																																					1			
chr15:11858702-11883550:-																																																																							1	
chr3:97731530-97731641:-																							2																																																	
chr3:129789989-129814291:-																													3																																											
chr18:73795728-73811110:-																																				1																1									2										1	
chr14:32248105-32248835:+																																										1			1																											
chr2:145686630-145703094:+				1				1																																																																
chr3:9535951-9630359:-											2																																																			1										
chr12:11329605-11356204:+														1																																																										
chr14:55896656-55897555:-						1			1																									1																	2						1	1							1							
chr2:155024077-155044199:+																																		1													2									1	1															
chr4:19618284-19687886:-																																								1																																
chr9:66427378-66428009:-																						1																																																		
chr16:37697410-37698926:+		2		1						1	2							1		1		1							2				1					2		1												1		1															1		2	1
chr11:75543169-75543243:+								1																																																																
chr8:11831154-11835914:+																		1																																																						
chr5:135239594-135255466:+																										1								1																																						
chr13:98888414-98901057:-																																																			1																		1			
chr11:53289063-53298770:+																																																																				1				
chr1:66893689-66893782:-					1																																																															1				
chr2:30030486-30037537:+																		1																																																						
chr4:32002088-32017152:+																																				1																																			1	
chr4:124713997-124724989:+																																																																		1						
chr1:34250234-34252149:+												1																																																												
chr5:30813010-30813063:+																						1																																																		
chr8:120673813-120680084:+																							2																																																	
chr17:56591132-56591430:-																																																																							2	
chr6:99613069-99628752:-											1																																																							1						
chr15:36186752-36200507:+																					1																																																			
chr6:52704183-52704286:+																						1																																																		
chr19:36849012-36853773:+								1																																																																
chr13:21084639-21101324:+																		1																																																						
chr19:40328488-40341009:-																																																									1															
chr17:64931522-64988620:+																							1																		1																															
chr7:73134156-73169456:-																																														1															1											
chr11:30741091-30752858:+																							1				1		1																																											
chr3:55891170-55910362:-																																																						1																		
chr12:76618416-76618771:+																																																						1																		
chr12:117652298-117652971:+																																																																					1			
chr10:75345865-75347990:-																		1																																																						
chr2:121799550-121811845:+																		1																																																						
chr15:101119495-101119522:+																											1																																			2										
chr14:54995895-54997202:-																																															1																									
chr4:141212869-141214990:-																								1																																																
chr5:122383752-122384547:-																																		1																																				1		
chrX:150049263-150059965:+																												1																																												
chr1:59880589-59881993:+																																								1																																
chr9:67293838-67304965:-																										1							2																1				3																			
chr2:135212340-135241286:+																											1																																													
chr1:38110423-38124733:-																																										1			1																											
chr4:41221555-41229848:-			1																																																																					
chr3:79369553-79372854:-			1																																																																					
chr2:109724809-109725524:+																		1			1																																																			
chrX:48140608-48151226:-																															2									1																																
chr14:30491755-30499949:+				1																																																																				
chr9:77045631-77124330:-																									1																					1																										
chr3:96069575-96069641:+																												1																																												
chr8:107388516-107391055:+				1																																																																				
chr3:144854291-144856846:+										1																																															1															
chr12:73979047-73983070:+								1																																																		1														
chr9:66357984-66382146:+															1																																																									
chr6:65573115-65576925:+																								1																																																
chr11:67079133-67079664:+																									1																																															
chr4:22385906-22403745:+																																												1											1																	
chr14:103497631-103513954:-		1			2															1																																			1										1				1			
chr7:119424758-119433624:+							1																																																																	
chr5:139022788-139028250:-																																																																		1						
chr2:28961309-28964031:+		1				1																			1																																															
chr7:89809655-89826811:+								1												2					1		2								2	2	1			1											1																			1		
chr9:21103690-21116709:+																		1																																1	1			2			1												1	1	1	
chr2:33163572-33174920:-														1															1					1																																				1		
chr14:64988954-64995033:+																																	1																																							
chr3:88744296-88770919:+			1																																																																					
chr7:115739961-115741932:-																																																										1														
chr7:99242269-99242331:+																																																			1																					
chr4:57218508-57270177:-																																																																					1			
chr18:37966317-37966406:+				1																																																																				
chr5:4078373-4108580:+									2																																																															
chr7:109649986-109650734:+															1																																																									
chr2:163938658-163938826:+											1																										1																				1															
chr4:63181955-63211760:+																															1																																									
chr9:61836945-61844817:-																																																																								1
chr1:163761047-163762386:+																											1		1																																1	1										
chr14:48720706-48724367:+																												1																																						1						
chr8:123614052-123614196:-																																																				1																				
chr11:58213224-58213394:-																																															2																									
chr8:107468644-107469103:+																																																							1																	
chr3:116087374-116198267:-																																																							1																	
chr5:123728855-123780679:-																																																																	1							
chr6:118753377-118757285:-																					1										1																																							1		
chr13:63318754-63347364:+																																								1											1																					
chr16:14254517-14254686:+																																											1																													
chr16:14207670-14214340:+																																															2										1															
chr19:27217865-27220583:+																																																																	1							
chr1:176747109-176783489:+								1																																																																
chr10:59435749-59436515:-												1											2				1										2			2		1			1	1						1				1					1											
chr6:31435889-31473706:+																												1																																												
chr3:60503014-60520941:+																																															1																									
chr7:126397094-126397145:-			2																																																																					
chr5:131480721-131490191:-											1										1																																																			
chr4:98967102-98968086:-																												1																																												
chr12:100620529-100644848:-																					1	1																1				1			1		1								2																	
chr12:108078582-108079577:-																					1																																																			
chr13:49807822-49812307:+																																								1																																
chr12:53401127-53994120:+																																																					1																			
chr19:26646571-26646616:+			1																																																																					
chr8:73198593-73212613:+								1																																																																
chr2:4436009-4488943:+														1																																											1															
chr3:95590617-95592326:-											1																																																													
chr11:84908455-84910702:-																		1																																																						
chr8:47805015-47805065:-																																								1																1																
chr7:73085482-73134345:-																																																	1																							
chr12:52958583-53057405:+			1																																																																					
chr12:113033903-113033927:+										1																																																														
chr11:77359882-77360113:+																									1																																															
chr13:99364826-99370796:+																																										1			1																											
chr9:45895425-45895479:-																																																														1										
chr8:124685237-124697910:-																																																																					1			
chr3:116671882-116678938:+					1															1																																																				
chr2:32601965-32602042:-							1																																																																	
chr2:104268195-104276980:-							2																																																																	
chr1:135199959-135200099:-																																				1																																				
chr2:121066053-121074577:-		1																						1					1								1										1								1																	
chr6:32985417-32985499:-								1																																																																
chrX:73270688-73270803:-																																			1																																					
chr17:31073774-31075068:+																																																													1											
chr17:86307748-86311381:-																																																																				1				
chr19:44072855-44077216:-											1																									1																1				1									1	2						
chr9:64111712-64120012:-																					1																																																			
chr8:61525309-61526634:+																																																					1																			
chr1:14279118-14323326:-			1																																			1				1			1				1				1																		1	
chr11:82610097-82653077:-										1																																																														
chr1:140290686-140378042:+																									1										1																						1															
chr13:24348783-24357658:-																																																																					1			
chr5:87824095-87824744:+						6		1								1					3			5		3			2	2			1	1			2			1		1			1	1						4	1			8					1	1				2		5	1			
chr18:42447035-42460583:+																															1																																						1			
chr4:126762509-126764087:-																																																														1			1							
chrX:50001535-50004222:-																																																													1											
