id	antiHormonal_20m_ESR1_tamoxifen_2m_3	aging_24m_ESR1_6m_2	aging_24m_CYP19A1_no_3	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_3	aging_24m_CYP19A1_6m_3	aging_12m_ESR1_no_2	antiHormonal_18m_ESR1_no_1	aging_12m_ESR1_no_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_no_2	aging_24m_ESR1_6m_3	aging_18m_ESR1_no_1	aging_12m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_18m_ESR1_no_3	aging_24m_CYP19A1_12m_1	aging_30m_CYP19A1_18m_3	aging_24m_CYP19A1_6m_2	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_1	aging_24m_ESR1_12m_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_3	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_24m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_1w_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_no_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_6m_1	antiHormonal_20m_ESR1_letrozole_2m_1	aging_24m_ESR1_no_1	aging_24m_ESR1_12m_1	antiHormonal_20m_ESR1_no_3	aging_24m_CYP19A1_12m_3	aging_24m_CYP19A1_6m_1	aging_12m_CYP19A1_no_3	aging_12m_CYP19A1_no_2	aging_30m_ESR1_18m_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_30m_ESR1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_18m_CYP19A1_1w_3	aging_12m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_no_2	aging_18m_CYP19A1_no_3	aging_24m_ESR1_12m_3	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_1	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_no_3	aging_30m_CYP19A1_18m_1	aging_18m_ESR1_1w_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	aging_18m_CYP19A1_no_1
chr11:54356913-54391515:+																								1																																																
chr8:71108631-71108783:-								1		1																	1					1														2																										
chr8:78037360-78085263:-											1								1						1										1																						1							2								
chr8:68172552-68335722:-																1																																																								
chr1:130777339-130777526:+																	1																																																							
chr14:27598544-27634937:+																																																		1																						
chr2:165676810-165717695:-																										1																																														
chr2:156340310-156340471:-																																																																1								
chr11:33424887-33454828:-				1																																																			1																	
chr18:68354893-68368880:+				1																																																																				
chr4:14756773-14798515:-																			1																																																					
chr6:124519157-124613125:-																																																		1																						
chr1:176582732-176589066:-			1																																																																					
chr17:15626017-15637987:+								1																																																																
chr5:107995671-107995866:+															1																																																									
chr4:86503565-86511931:-											1			1							1				1														1				1						1																							
chr9:103093013-103105267:-											2																																																													
chr11:80143873-80145573:-																																													1				1																	1						
chr7:83322242-83332157:-																																																					1																			
chr8:26172515-26184872:+															1																																																									
chr6:92026987-92030850:+																								1							1													1																												
chr4:46460090-46472233:+																																							1																																	
chr11:98887555-98888745:-		1																																																																						
chr4:134636924-134640506:-				4				2					3									1															1																																			
chr17:86763414-86766358:-						1																																																																		
chr8:78109354-78137775:-																																					1																																			
chr10:62829804-62831158:+																																																1																								
chr2:18289434-18298855:-								3					1						2			1											1				1	2							1		1							1																		2
chr14:52474187-52475245:-																									2																																															
chr1:105614674-105649140:+																										1																												1					1											3		
chr19:42165828-42174388:+																																						2																																		2
chr5:122298582-122300853:+																																																		1																						
chr6:39336884-39343980:-					2																																1																																			
chr7:33947532-33957578:-																																			1																																					
chr16:13182402-13182607:-																																					2																																			
chr8:3217502-3224888:-												1																																																												
chr5:134618209-134620073:+																	1																																																							
chr16:14029216-14030449:-																													1																																											
chr11:60834364-60835529:-																																		1																																						
chr16:8519826-8521410:-																																												1																												
chr16:94189124-94204227:+					1																																																																			
chr11:97113777-97117694:-						2																																																																		
chr3:152023251-152028113:-							1																															1							1																											1
chr17:48186280-48186482:-																																												1																												
chr19:8924012-8925149:+																																																1																								
chr13:6638525-6647931:-																																																										1														
chr8:87358014-87378945:+					1																	2																																																		
chr14:65089334-65099075:-								1																																		2																														
chr7:111646134-111666441:+																																																																	1							
chr7:134373196-134478044:+																			1																																																					
chr4:149329999-149351740:-																						1																																																		
chr2:76588636-76591729:-																																	2																																							
chr6:50567980-50568134:-																																																																			1					
chr16:10428867-10462745:+									1															1				1																											3			1				2					2		3		2	
chr8:86770339-86776448:+															1																	1		1				2						1																				1	1							2
chr19:27878179-27900666:-																																																			2																					
chr1:8653429-8665766:-																						1																																																		
chr6:53005120-53005281:+																												1																																												
chr13:25182908-25190458:-																																			1																																					
chr3:84447877-84448564:-																																												1																												
chr9:30964536-30973421:+																																																		2																						
chr9:116507715-116524934:-			1																																									1				1	1					2			1														1	
chr11:6099876-6100027:+							1																																																																	
chr9:21298996-21300049:+																			1																																																			1		
chrX:149277955-149292131:-																																																																2								
chr3:122587909-122611716:+										1																																																														
chr6:65839899-65847453:+														1	1				1						1		1				1																																									
chr7:44975987-44977319:-																																											1																													
chr13:83556639-83594539:-																																																	1																							
chr6:118711812-118719329:-				1													1					1																																																		
chr13:112641540-112641874:-					2																																																																			
chr14:72799038-72804924:-																								1																					1																											
chr12:72830457-72833563:+																																1																																								
chr11:48695085-48696454:-																																						2																																		2
chr1:58954845-58965886:-																																																	1																							
chr1:121247326-121247701:-							2													2																																																				
chr14:57179455-57194560:+															1																																																									
chr4:150490653-150516050:+															1																				1								2																													
chr9:108433607-108434247:+																													1																																											
chr15:98020104-98020563:-																																					1																																			
chr16:15589888-15597421:+																																																																	1							
chr12:99299993-99307717:+																		1																																																						
chr11:35163986-35165380:-																											1																																													
chr4:137348373-137350699:+																	1																																														1									
chr4:47292320-47296123:+																									1																																															
chr4:116808022-116816023:+																																	2																																							
chr1:52235324-52251525:-																																							1																1							1										
chr10:9673866-9742438:-																																																				1																				
chr18:34394058-34412405:+											1																										1																																			
chr7:55734737-55872741:+											1																																																													
chr6:135114908-135129862:-														1																																																										
chr3:36981964-36982111:+																																																						1																		
chr11:67080469-67081171:+																								1																									1		1													1								
chr2:52167370-52170654:-																																																								1																
chr10:62417095-62417240:-																																																1																								
chr2:112184519-112185489:+				1																																																																				
chr19:55612249-55743514:+								1																																																																
chr10:88407505-88411026:-															1																																																									
chr15:34999977-35031922:-																																																														3										
chr1:179923453-179923614:+																				1																																																				
chr18:83004869-83006323:+																												1									1	1			1																															1
chr13:117385808-117386322:+																													1																			1																								
chr19:4835464-4844037:-																																							1																																	
chr15:99616033-99618559:+																																																								1																
chr2:76660188-76660953:-																																																									1															
chr6:87112284-87112424:+																																																																1								
chr10:3373494-3387299:+					2																																																																			
chr9:26701537-26701710:+																		1																1																																						
chr9:55781929-55799572:-																								1																																																
chr2:146871415-146878715:+																																					1																																			
chr17:32551785-32553670:-																																															1																									
chrX:55688728-55700413:+												1							2						1		1		1						1						1		1			3				2	1				1		2	1			1				1				3			
chr7:92550367-92554420:+													1	1																																																										
chr16:37930534-37930709:-																																1																																								
chr19:57617517-57703155:+																																																																	1							
chr5:25552359-25558406:-				3	2			5							1				3		3	4		1		3	3		1	3			3						2				1	2				3		2	2			1		2	3	4			1		1				3		3		2	
chr4:99719630-99746198:+																																											1																		1								1			
chr10:23014089-23035052:-									1																																																1	1														
chr12:83615623-83642096:-																														1					1																1																		3	4		
chr14:61628613-61629294:-																																																								1																
chr14:48691019-48692767:+																																																																							1	
chr4:155298517-155298655:-																																																1																								
chr9:44524946-44525122:-																																																	1																							
chr12:105765926-105766083:+																																																			1							1														
chr19:45954681-45967151:-																																									1																															
chr17:4647965-4655521:-																																											1																													
chr1:155889064-155909546:-																																																						1																		
chr1:7190418-7190839:+					3	8		2					5	1		2		2		4		3	1		1	1		4			2	2											1	1			1		1	4	2		1	1		2							1		1	2					6	
chr17:52110459-52116315:-										1																																			1																	1						1				
chr17:74675823-74689035:+																								1																																																
chr17:26068313-26068614:+																																																						1																		
chr13:99000216-99003676:-																																																															1									
chr10:120051130-120051554:+															1																																																									
chr11:83189545-83260608:+																																		1																																						
chr16:4909709-4922889:-																																						2																																		2
chr12:55888356-55892148:+																				1												1																																								
chr16:31750770-31751067:-																																						1																																		1
chr9:100988431-101001214:+																																									2																															
chr17:75058057-75106406:+																																																1																								
chr11:67067080-67132994:+																																																	2																							
chr19:27981896-27982056:+															1																																																									
chr10:50518619-50526807:+																			1																																																					
chr2:118252444-118257152:+																											1																																													
chr12:59182850-59196354:+																																																										1														
chr2:154429670-154430012:-																																																																					2			
chr4:126729264-126731212:+						1											1										1																											1																		
chr5:33765006-33765379:+								1																																																																
chr5:122925850-122929997:-													1																																																											
chr4:149235032-149235191:+																																																																						1		
chr10:127002657-127002943:+														1																																																										
chr5:144150874-144151237:-																																1																																								
chr10:74971726-74981294:+																																														1																										
chr15:36601559-36603229:-																																																																			1					
chr5:67473021-67492011:+																																																																			1					
chr5:135266773-135268999:+															1																																																									
chr1:36387734-36387917:+																																																								1																
chr9:54300912-54311505:-																																																													1											
chr18:69766648-69791021:+																															1																																						1			
chr16:91857297-91865414:+																																1																																								
chr12:79518377-79537098:+																																																					1																			
chr4:150515980-150584508:+																																																									1															
chr10:83410307-83412693:+																																																																	2							
chr9:86304894-86334063:-							1	1							1			1																	3		1																																			
chr13:38240164-38241141:-																			1												1																																									
chr5:104018395-104020040:-																						1					1																																													
chr11:87963883-88061000:+																																	1																																							
chr10:88049509-88070320:+																																									1																															
chr10:76917039-76921154:-																																												1																												
chr9:64895663-64899651:-																																																																				1				
chrX:72778068-72780480:+																																																																						1		
chr12:111744454-111755920:+				1				2		2	1					2			1					1							2	3	1					4	1	1				1		4				3	1							1							2						4	4
chr11:115885086-115904494:-									1																																																															
chr2:59096732-59153059:+																												1																																												
chr2:155054257-155055022:+																															1		1																																							
chr4:150515980-150516442:+							1																																										1									1														
chr15:38009028-38009362:-											1																																																													
chr2:76657402-76658468:+																											1																																													
chr5:110889836-110904632:-			1																																			1						3																												1
chr2:152474211-152474384:-											1																																																													
chr3:65591313-65709826:+																		2																																																						
chr5:139698042-139705140:-																															1																																									
chr11:106969346-106977720:-																																																	1																							
chr1:133680827-133681487:-		1		3		4		2	1		1	1	4		2	4		1				1		2		4	2	1		1	1		1	2	1		1	2	4		2		2	4	1			4			3					1	4	1			3	2	2		3		2	3	3		6	2
chr17:74929031-74969813:+		1																																																																						
chr19:4395546-4444920:-			1																																																																					
chr2:168053382-168072175:+																																																																					2			
chr4:10946773-10973503:-																																																																					1			
chr17:25211244-25222418:-																																							1																																	
chr11:78117106-78117560:+																																																						1																		
chr11:62216708-62216847:+																																																										2														
chr7:73201927-73202062:-				1																																																																				
chr13:30528920-30529754:+																																		1																																						
chr2:93826528-93831858:-																																		1																																						
chr6:39124234-39125986:-			1																																																																					
chr5:36231026-36231552:+																																																					1																			
chr13:91426054-91434621:-																			1																																																					
chr9:115072676-115072833:+																																																									1															
chrX:52087968-52097595:+								1																																											1						1															
chr10:122955014-122989032:-												1																																																												
chr10:62050028-62050558:+													1														2				1																																									
chr12:83852445-83858134:-																																							1																																	
chr6:120914517-120946453:-																																												1																												
chr8:70485829-70486278:-																																																1																								
chr17:64943479-64966069:+				1												2																																													1											
chr2:13221581-13229236:-														1	3							1																																																		
chr5:34609452-34609679:+																																					1																																			
chr18:9437521-9438281:-																												1																																												
chr11:115856306-115856542:-																																																																	1							
chrX:82351357-82365192:+																1																																																								
chr11:70777837-70791433:+																			1																																																					
chrX:47456296-47459909:+																																																		1																						
chr19:45624174-45624887:-																																																						1																		
chr3:88817621-88818117:-																																																											2													
chr11:119259490-119260091:+																																								1																																
chr5:123868518-123878925:-																																														1																										
chr2:76638923-76658300:+																																																										1														
chrX:10030961-10048291:-									1																																																															
chr5:25495488-25498246:-															1																																																									
chr11:28436983-28455430:-																																												1																												
chr11:21210288-21214871:+																																																												2												
chr18:5705043-5773094:+																											1								1																																		1			
chr6:99237306-99285399:-																											1																																								1					
chr10:39708514-39724079:+																																														1																										
chr9:48743745-48743903:+																																																															1									
chr1:119526735-119537016:-												1																																																												
chr9:72576144-72630289:-													1				1					1					1																	2				1																								
chr11:73013934-73022593:+																	1																																																							
chr3:88907035-88940639:+													1																																																											
chr7:58920482-58938528:+													1																																																											
chr15:89137222-89143406:+																	1																																																							
chr2:76726268-76730213:-																																																									1															
chrX:158547008-158599702:+								2																																																																
chr11:51162627-51164453:+								1		1		1				1			1						1										1		1		1					1				2		1						1																
chr6:53657921-53662505:+																		1																			1												1																							
chr9:64944251-64951141:+			1																																																																					
chr5:146969685-146970330:-				1																																			1																																	
chr3:103752095-103767806:+																	1																																																							
chr15:81595675-81606227:-																																1																																								
chr13:53073037-53086712:-																																																			1																					
chr18:22903738-22956627:-																										1																																														
chr16:59323488-59345333:-																											1												1																																	
chr12:83883981-83884120:-																																																1																								
chr7:75327000-75345414:+																																																1																								
chr5:144212583-144223121:-																																																			1																					
chr4:72087329-72089007:-									1									1																										2										1		1											1					
chr5:41766831-41773721:-												1																																																												
chr11:70552330-70553098:+																										11																																							203							
chr4:152063953-152064461:+																																																							1																	
chr1:36907689-36907824:+																														1																																										
chr5:120625495-120629288:-																																									1																															
chr19:21372002-21372195:-																																												1																												
chr18:83004869-83012662:+												1																																																										1		
chr13:112499949-112504882:+																						1																																										1								
chr4:150505095-150594495:+																						2																																																		
chr12:40254296-40263116:-																				1																																																				
chr8:122718267-122734530:+																										1																																				3										
chr17:48698277-48699462:-			1																																																																					
chr12:108476436-108481474:+					1																																																																			
chr1:74491846-74518908:-																															1																																									
chr1:157175393-157176803:-																																					1																																			
chr7:19430263-19430935:-																																													1																											
chr15:77896576-77931383:+																																																																			1					
chr13:120237303-120251823:-				1										1						1	1													1			2																		1																1	
chr1:60049268-60053177:-						1																																																																		
chr18:36765120-36791191:+																		1																																																						
chr5:25609277-25614329:-																															1																															1							2			
chr4:149306684-149310813:-																																														2																					1					
chr9:41041931-41042125:-																																																					1																			
chrX:7593612-7594068:-																																																																				1				
chr8:11259613-11261808:-																			1																																																					
chr19:4670848-4670988:+																					1																																							1												
chr15:11237624-11259187:+																																																										1														
chr17:74872786-74887557:+																																																																		1						
chr13:119608675-119617566:+															2																																																									
chr8:86490864-86507206:-																											1					1																																								
chr1:53235982-53255121:-											1																																																													
chr7:67385888-67386058:-													1																																																											
chr18:67962987-67967618:+																									1																																															
chr11:106971549-106973526:-																																																										1														
chr8:94750815-94750969:+																																																											2													
chr1:45855637-45856603:+		1																																																																						
chr18:75652810-75654940:-			2										1			1				2					1		2			3	1	3					2		1			2			1					2			2								2						1					
chr18:36765120-36765514:+							2																																																																	
chr6:115600439-115603315:-																																																																						1		
chr6:99237306-99379091:-																																																		1																						
chr19:60803050-60814369:+																																																												1												
chr10:80917735-80917968:+													1				1				1																																																			
chr3:60810540-60829152:+																1																																																								
chr9:20686762-20687414:-																																					1																					3			1											
chr9:123397989-123399630:+																								1																																																
chr1:62184006-62205641:+																															1																																									
chr1:92069242-92080323:-									1																				1																																											
chr10:53224568-53225355:-																			1						2																																															
chr3:36498819-36519484:-																					2																																																			
chr14:34413639-34417062:+		7				8		4	4	4	4	7	4		6	11	6	8		5	8	3		3	4	3	5	1		3	4	9	6	7	4		3	7	1	1	3				5	5		3	6	4	8			4	4	6	6	4			2		1	7			4	3	10	8	4	7
chr14:26823245-26823405:-												1																																																												
chr8:96199999-96214304:-																								1																																																
chr16:35152262-35152469:+																																																			1																					
chr10:19876312-19876451:+				1																																																																				
chr4:140898135-140924943:+						1																																																																		
chr17:80961291-80963350:-										1	2											2		1	1						1			2	1		1	1	2					1	2	3							1	2				1				2			1				1			1
chr11:35743021-35767445:-																																												1																												
chr6:3516622-3524175:+				3				1					4		1	1																1		1			1							2					2		1		1								1									1		
chr16:56449500-56450275:+																2																																																								
chr8:46958686-46966788:+																											1													1																1											1					
chr8:88506827-88631176:-																															2																																									
chr15:3609005-3609171:+																																					1																																			
chr6:71120221-71120376:+																																										1																														
chr5:124089262-124095565:+					1																																																																			
chr13:100215167-100220703:-																																2																																								
chr1:34236282-34332564:+																																	3																																							
chr9:27940803-27951180:+																																						1													2																					1
chr2:76677457-76682108:-																																												2																												
chr16:32711635-32721077:+					1																																																																			
chr8:125851232-125862248:+						2							1																																																											
chr10:128237425-128237564:+																																1																																								
chr10:88049509-88055222:+																																																1																		3					2	
chr14:87709512-87712276:+			2																														1							1															2	1																
chr2:93050364-93054923:-			2	1												1																				1																																				
chr2:31073592-31078825:+										1												1							1														1								1										1											
chr9:35394394-35398267:+																																1																																								
chr15:11845152-11858838:-																																																																							1	
chr5:34867477-34877235:+																							2																																																	
chr1:72351567-72354740:+																										1																																														
chr5:81836356-81888993:+																															1																																									
chr10:32960485-32960633:+																																									1																															
chr7:80003049-80008756:-																																														3																										
chr9:44843640-44874730:-																																																						1																		
chr9:117740948-117764264:-																																																								1																
chr15:101091813-101109283:+																																																										1														
chr16:11041101-11042135:+													1																		1																	1						1							1											
chr1:165486986-165491190:+																														1																			1																		1					
chr2:142688849-142704460:-																														1					2																																					
chr6:58853474-58867219:+																																																																							1	
chr5:23770112-23834475:-																																																																			1					
chr5:107295892-107302301:-		2																																																																						
chr11:3255375-3259323:+																						1																																																		
chr1:39599774-39604413:-																											1																																													
chr1:121232205-121240054:-																																																										1														
chr10:62999292-63005209:-							1						1	1		5					3		1	2					2			1	1									1		3					1		3					2	1					1						2				
chr3:84771271-84811386:+																													2	1	1								1																															1		
chr12:98648778-98649874:-																																						1																																		1
chr19:40830152-40831789:+																																							1																																	
chr13:76041025-76068098:-																																																			1																					
chr13:90139192-90149203:-												1											2	1									2						1						1					1								1														
chr11:53428314-53428742:+														1																																																										
chr9:115105772-115109587:-																				1							1																																													
chr17:21789278-21808526:+									1																																																															
chr13:36613490-36613654:+																												1																																												
chr5:146147330-146147513:+																																																																						1		
chr5:118116020-118117900:+				1											1																																																									
chr9:60270935-60335808:-					1																																											1																								
chr19:45961262-45963714:-																							2																																																	
chr7:73113384-73114137:-																															1																																									
chr5:129221098-129239816:+																																									1																															
chr4:144807871-144808381:-																																																					1						1												1	
chr10:82204405-82219678:+				1				1					1					2			1						2					1	3						1										1		2				1										4	1		6				
chr7:144209336-144210850:-								1																																																																
chr3:116160276-116192844:-												1						2										1						1																															1							
chr14:45572110-45581184:+								1								1																															1			2				3																	1	
chr7:19155211-19155411:-																						2																																																		
chr1:128603384-128604765:+																																						1																																		1
chr16:91180749-91196233:+						1																																																																		
chr11:119041854-119044901:-								2			1	1	1			1								1	1																									1	1							2		1										1	2	
chr12:104675485-104675673:-																																																			1																					
chr7:122999661-123003707:+								1																																																																
chr2:164728979-164731392:+											1																																																													
chr5:89176152-89186470:+																1																																																								
chr2:76652889-76702224:-																											1																																													
chr4:147840577-147842285:-																																																			1																					
chr9:34488212-34489955:+											1																																																													
chr17:30912923-30914190:+													1			1																																																								
chr12:78390126-78551525:+					2								1		1				2		2					3		1			2	1		1				4							1					1															1		2					4
chr9:23310646-23384872:+									1																																																															
chr4:94686848-94693190:+																															2																																									
chr9:63193681-63237238:-																																												1										1																		
chr15:27467166-27544553:+																																													1																											
chr15:8006449-8112066:-																																					1																																			
chr6:31227895-31228043:-																																																																							1	
chr18:31727630-31740317:-		2	1												2	2			1		1			1			1			2										1									1							1								1			1	2				
chr4:41229695-41251671:-								1																																																																
chrX_GL456233v2_random:409325-409604:+																						1																																																		
chr15:78968312-78974161:+													1																																									1																		
chr2:164853977-164854135:+																																						1																																		1
chr2:5978280-5984734:+																																										1																														
chr17:28539764-28541745:+																																																		1																						
chr16:35833263-35840614:+																																																									1															
chr19:47275044-47281094:-																																																																							1	
chr12:73984427-73987405:+											1																						1																1					1																		
chr8:73774922-73775093:-															1																																																									
chr1:23085591-23128984:-																						1																																																		
chr4:58872589-58885498:-																						1																																																		
chr4:125543472-125553595:+																																					1																																			
chr11:70498763-70499252:+																																																		1																						
chr7:16265834-16283132:-										1																																																														
chr14:122832468-122875829:+											1																																																													
chr5:96276802-96290209:-																	1																																																							
chr7:135418646-135420616:+																													1																																											
chr9:67766072-67785459:+																												1																																		1			1							
chr9:55650827-55828622:-																																											2																													
chr11:106114907-106138995:+																																																																1								
chrX:37634373-37635761:-					1																																																																			
chr11:79947278-79955225:-								1		1																1																								1			1				1															
chr4:107050496-107061475:+																									1																																															
chr11:119734508-119742293:+																															1								1																																	
chr9:20822713-20823952:-																																							1																																	
chr13:104020651-104029987:-																																																		2																						
chr8:120978857-120979018:-																																																							1																	
chr15:11858703-11883550:-													1																																					1																						
chr5:122570804-122571600:+													1																																																											
chr5:122952612-122956067:-														1																																																										
chr10:86184117-86184360:-																																			1																																1					
chr9:70488594-70488746:+																																			1																																					
chr2:179778772-179782973:+																																																			1																					
chr14:7690869-7723795:-									1																																																															
chr1:169984493-169994517:-																1																				2																												1						1	1	
chr15:44404244-44406736:+																											1																																													
chr6:118589528-118591038:-																																							1																																	
chrX:35271811-35272991:+																																													1																											
chr19:32771381-32771544:+																																																			1																					
chr1:86901122-86918047:+																																																									1															
chr15:103104705-103104879:+																																																																	1							
chr8:86602263-86697626:+														2						1		1	4																			2														2												1				
chr11:100383331-100389588:-																	1																																																							
chr3:133026697-133045110:+																															1																																							2		
chr7:76169052-76239297:+																																								1																																
chr13:21578132-21578751:-																																									1																															
chr9:9029424-9075011:-																																																													1											
chr11:109544788-109544938:+											1																																																													
chr7:109513928-109526221:-												1																																																												
chr6:97300616-97400485:-																																			1																																					
chr10:12496935-12680405:-																																																														1										
chr12:83682176-83722092:+								1																																																																
chr4:53679794-53686517:+											1													1													1																																			
chr11:32670472-32672145:+																			1																																																					
chr3:32901959-32920115:+																1																																	1																						1	
chr4:104896919-104897423:-																																1																																								
chr12:31366643-31366819:-					1																																																																			
chr19:3536976-3576934:-								1																																																																
chr4:130546331-130546515:+															1																																																									
chrX:138868945-138869348:-																3											1						1				1														1				1							1										
chr3:108019251-108025774:-																													1																																											
chr1:58439238-58440670:+																																																							1																	
chr17:63519606-63532096:-				1																						1																																														
chr7:127118753-127125077:+					1																4										1												1													1						1								2		
chr1:190603789-190631768:-										4		4	4	2	3			2	6					2			2				1	3					3	3	3		3			5			2		2	4	3			2	1		3				2				4		1			1	2	3
chr10:109649030-109660542:-														1																																																										
chr16:4745652-4754868:-															1																																																									
chr12:74030637-74031976:+																				2																																																				
